Student,Class Short Name,,,
,HUMAN 10A,,,
,MATH 22A,,,
Student 1234,ECON 10A,,,
,EXPOS 20,,,
,GENED 1011,,,
,PHIL 34,,,
Student 1235,ENGLISH CAJR,,,
,FRSEMR 63R,,,
,GENED 1131,,,
,LATIN 10,,,
Student 1236,COMPSCI 50,,,
,GENED 1038,,,
,MATH 25A,,,
,PHYSICS 19,,,
Student 1237,ECON 10A,,,
,GENED 1120,,,
,MATH 22A,,,
,STAT 110,,,
Student 1238,ECON 10A,,,
,FRSEMR 51H,,,
,LIFESCI 1A,,,
,MATH 22A,,,
Student 1239,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 50P,,,
,PSY 1,,,
Student 124,ECON 10A,,,
,FRSEMR 64O,,,
,GENED 1042,,,
,JAPAN BA,,,
Student 1240,EXPOS 20,,,
,FRSEMR 24G,,,
,LIFESCI 1A,,,
,MATH 22A,,,
Student 1241,FRSEMR 52C,,,
,GOV 1249,,,
,GOV 50,,,
,KORLIT 134,,,
Student 1242,CHNSE BA,,,
,EXPOS 20,,,
,GENED 1091,,,
,MATH 1B,,,
Student 1243,COMPSCI 50,,,
,EXPOS 20,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1244,COMPSCI 50,,,
,ECON 1017,,,
,EXPOS 20,,,
,MATH 22A,,,
Student 1245,EXPOS 20,,,
,FRSEMR 72I,,,
,GENED 1011,,,
,MATH 1A,,,
Student 1246,ECON 10A,,,
,FRSEMR 62Z,,,
,SPANSH 11,,,
,STAT 100,,,
Student 1247,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1080,,,
,MATH MA,,,
Student 1248,FRENCH 20,,,
,FRSEMR 65F,,,
,GENED 1130,,,
,GOV 1249,,,
Student 1249,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1038,,,
,MATH 1B,,,
Student 125,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 70P,,,
,MATH MA,,,
Student 1250,ECON 10A,,,
,EXPOS 10,,,
,FRSEMR 71Y,,,
,MATH 1A,,,
Student 1251,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 49G,,,
,MATH 22A,,,
Student 1252,AMHARIC BA,,,
,GENED 1071,,,
,GENED 1093,,,
,GHHP 30,,,
Student 1253,ECON 10A,,,
,GENED 1053,,,
,GOV 20,,,
,HIST 1223,,,
Student 1254,COMPSCI 50,,,
,FRSEMR 61F,,,
,GENED 1012,,,
,GOV 20,,,
Student 1255,EXPOS 20,,,
,FRSEMR 34X,,,
,LIFESCI 1A,,,
,NEURO 80,,,
Student 1256,ECON 10A,,,
,EXPOS 10,,,
,FRSEMR 25N,,,
,MATH 1A,,,
Student 1257,EXPOS 20,,,
,FRSEMR 21W,,,
,GENED 1104,,,
,MATH 22A,,,
Student 1258,FRSEMR 71R,,,
,GENED 1093,,,
,GENED 1094,,,
,ITAL 20,,,
Student 1259,CLS-STDY 97A,,,
,EXPOS 20,,,
,GENED 1102,,,
,GOV 30,,,
Student 126,CHNSE 130A,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,MATH MA,,,
Student 1260,ECON 10A,,,
,FRSEMR 62Z,,,
,LPS A,,,
,MATH MA,,,
Student 1261,GENED 1131,,,
,LATIN 1,,,
,LIFESCI 50A,,,
Student 1262,ECON 10A,,,
,ECON 10B,,,
,EXPOS 20,,,
,MATH 18A,,,
Student 1263,ENGLISH 185E,,,
,FRSEMR 63L,,,
,HUMAN 10A,,,
,SPANSH 20,,,
Student 1264,COMPSCI 50,,,
,ECON 1011A,,,
,EXPOS 20,,,
,MATH 55A,,,
Student 1265,FRSEMR 25N,,,
,GENED 1053,,,
,LIFESCI 1A,,,
,PSY 1,,,
Student 1266,ANTHRO 1255,,,
,ECON 10A,,,
,GENED 1094,,,
,SOCIOL 1000,,,
Student 1267,ECON 10A,,,
,EXPOS 20,,,
,ISLAMCIV 145B,,,
,MATH 21A,,,
Student 1268,COMPSCI 50,,,
,GENED 1140,,,
,GOV 30,,,
,MATH MA,,,
Student 1269,EXPOS 10,,,
,GENED 1091,,,
,LIFESCI 1A,,,
,ZULU AA,,,
Student 127,AFVS 107,,,
,EXPOS 20,,,
,FRSEMR 64Y,,,
,GENED 1076,,,
Student 1270,GENED 1074,,,
,GENED 1104,,,
,LIFESCI 50A,,,
Student 1271,FRSEMR 50Y,,,
,HISTSCI 100,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1272,ENGLISH 10,,,
,GENED 1140,,,
,GOV 1790,,,
,SPANSH 10,,,
Student 1273,COMPLIT 107,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,MATH 22A,,,
Student 1274,APMTH 22A,,,
,ENG-SCI 155,,,
,EXPOS 20,,,
,HIND-URD 101A,,,
Student 1275,COMPSCI 50,,,
,FRSEMR 26O,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1276,EXPOS 20,,,
,GENED 1089,,,
,GOV 30,,,
,SOCIOL 1119,,,
Student 1277,ECON 10A,,,
,EXPOS 20,,,
,GENED 1144,,,
,MATH 1A,,,
Student 1278,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 26J,,,
,MATH 21A,,,
Student 1279,EXPOS 20,,,
,FRENCH 50,,,
,FRSEMR 63L,,,
,LIFESCI 1A,,,
Student 128,FRENCH 50,,,
,GENED 1069,,,
,MATH 1B,,,
,PSY 1,,,
Student 1280,CHNSE BA,,,
,COMPSCI 50,,,
,ECON 10A,,,
,STAT 100,,,
Student 1281,EMR 151,,,
,EXPOS 20,,,
,LPS A,,,
,MATH 21A,,,
Student 1282,FRSEMR 51F,,,
,LPS A,,,
,MATH 1A,,,
,SPANSH 20,,,
Student 1283,EXPOS 20,,,
,LPS A,,,
,MATH ESPA,,,
,MATH MA,,,
,SOCIOL 1000,,,
Student 1284,CHNSE BX,,,
,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
Student 1285,GENED 1042,,,
,GENED 1080,,,
,MUSIC 51A,,,
,PHIL 34,,,
Student 1286,CHNSE BA,,,
,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 49G,,,
Student 1287,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 43J,,,
,ZULU AA,,,
Student 1288,EXPOS 10,,,
,FRSEMR 40P,,,
,LPS A,,,
,MATH MA,,,
Student 1289,APPHY 50A,,,
,ECON 10A,,,
,LIFESCI 1A,,,
,MATH 22A,,,
Student 129,FRSEMR 24Q,,,
,GENED 1053,,,
,LIFESCI 1A,,,
,PSY 1,,,
Student 1290,FRSEMR 62L,,,
,GENED 1105,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1291,ECON 10A,,,
,EXPOS 20,,,
,GENED 1038,,,
,MATH QA,,,
Student 1292,EXPOS 20,,,
,FRSEMR 64I,,,
,LIFESCI 1A,,,
,MATH 1B,,,
,MUSIC 16,,,
Student 1293,EXPOS 20,,,
,FRSEMR 30M,,,
,GENED 1038,,,
,TDM 130R,,,
Student 1294,ARABIC AA,,,
,FRSEMR 33X,,,
,GENED 1105,,,
,HUMAN 10A,,,
Student 1295,ECON 10A,,,
,GENED 1093,,,
,GOV 30,,,
,SPANSH 30,,,
Student 1296,COMPSCI 50,,,
,FRSEMR 25X,,,
,MATH 25A,,,
,MUSIC 107,,,
,STAT 110,,,
Student 1297,GENED 1042,,,
,HUMAN 10A,,,
,MATH 55A,,,
,STAT 110,,,
Student 1298,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 72M,,,
,HIST 1023,,,
Student 1299,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 26F,,,
,MATH 22A,,,
Student 13,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 70P,,,
,SPANSH 11,,,
Student 130,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 62U,,,
,GENED 1079,,,
Student 1300,GENED 1144,,,
,LIFESCI 1A,,,
,MATH 21A,,,
,SPANSH 50,,,
Student 1301,AFVS 76,,,
,MATH QA,,,
,PORTUG 10,,,
,PSY 1,,,
Student 1302,FRSEMR 21W,,,
,GENED 1094,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1303,FRSEMR 40P,,,
,LIFESCI 1A,,,
,MATH ESPA,,,
,MATH MA,,,
,PORTUG 10,,,
Student 1304,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 26O,,,
,GENED 1104,,,
Student 1305,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,MATH 1B,,,
Student 1306,GENED 1102,,,
,LIFESCI 50A,,,
,MATH 22A,,,
Student 1307,APMTH 22A,,,
,ECON 10B,,,
,EXPOS 20,,,
,FRENCH 10,,,
Student 1308,ENGLISH CNSR,,,
,FRSEMR 62I,,,
,LIFESCI 50A,,,
Student 1309,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1069,,,
,SPANSH 40,,,
Student 131,COMPLIT 157,,,
,EXPOS 20,,,
,PHIL 140,,,
,PHIL 6,,,
Student 1310,EXPOS 20,,,
,GENED 1089,,,
,LPS A,,,
,MATH 1B,,,
Student 1311,ECON 10A,,,
,EXPOS 10,,,
,GENED 1019,,,
,MATH MA,,,
Student 1312,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH 1A,,,
,SPANSH 10,,,
Student 1313,EXPOS 10,,,
,GENED 1093,,,
,LPS A,,,
,MATH 1A,,,
Student 1314,EXPOS 10,,,
,FRSEMR 50V,,,
,GENED 1018,,,
,MATH 1A,,,
Student 1315,EXPOS 20,,,
,FRSEMR 72M,,,
,GENED 1146,,,
,LPS A,,,
Student 1316,EXPOS 20,,,
,FRENCH 30,,,
,FRSEMR 72P,,,
,MATH MA,,,
Student 1317,EXPOS 20,,,
,FRSEMR 40P,,,
,GENED 1105,,,
,LIFESCI 1A,,,
Student 1318,ECON 10A,,,
,FRSEMR 34X,,,
,GENED 1120,,,
,MATH 18A,,,
Student 1319,COMPSCI 61,,,
,EXPOS 20,,,
,GENED 1074,,,
,MATH 55A,,,
Student 132,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 50Y,,,
,MATH 21A,,,
Student 1320,AFVS 52,,,
,ASTRON 2,,,
,FRSEMR 65E,,,
,ITAL 30,,,
Student 1321,ECON 10A,,,
,FRSEMR 50Y,,,
,GENED 1181,,,
,MATH 21A,,,
Student 1322,CHNSE 130XA,,,
,FRSEMR 72P,,,
,GENED 1033,,,
,MATH 1B,,,
Student 1323,ENGLISH 10,,,
,GENED 1091,,,
,GENED 1183,,,
,HUMAN 10A,,,
Student 1324,COMPSCI 50,,,
,EXPOS 20,,,
,MATH 22A,,,
,STAT 110,,,
Student 1325,FRSEMR 21V,,,
,MATH 22A,,,
,PHYSICS 19,,,
,PORTUG 20,,,
Student 1326,GENED 1038,,,
,LPS A,,,
,MATH ESPA,,,
,MATH MA,,,
,MUSIC 107,,,
Student 1327,CHNSE BX,,,
,EXPOS 20,,,
,MATH 22A,,,
,PHYSICS 19,,,
Student 1328,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 33C,,,
,GENED 1093,,,
Student 1329,EXPOS 10,,,
,FRSEMR 50P,,,
,SOCIOL 1000,,,
,STAT 100,,,
Student 133,EXPOS 10,,,
,GENED 1038,,,
,LPS A,,,
,PSY 1,,,
Student 1330,EXPOS 10,,,
,FRSEMR 72V,,,
,MATH MA,,,
,SOCIOL 1000,,,
Student 1331,EXPOS 20,,,
,GENED 1053,,,
,LIFESCI 1A,,,
,MATH 19A,,,
Student 1332,ECON 10A,,,
,EXPOS 10,,,
,FRSEMR 71R,,,
,MATH MA,,,
Student 1333,FRSEMR 71Y,,,
,GENED 1076,,,
,MUSIC 14,,,
,SOCIOL 1000,,,
,SPANSH 40,,,
Student 1334,EXPOS 10,,,
,GENED 1080,,,
,LIFESCI 1A,,,
,MATH ESPA,,,
,MATH MA,,,
Student 1335,EXPOS 10,,,
,FRSEMR 49G,,,
,MATH MA,,,
,SPANSH 20,,,
Student 1336,EXPOS 20,,,
,FRSEMR 62R,,,
,MATH 21A,,,
Student 1337,ECON 1010A,,,
,EXPOS 20,,,
,GENED 1074,,,
,STAT 110,,,
Student 1338,COMPSCI 50,,,
,GENED 1166,,,
,MATH MA,,,
,SPANSH 10,,,
Student 1339,GENED 1071,,,
,MATH MA,,,
,PSY 1,,,
,ZULU AA,,,
Student 134,ECON 1011A,,,
,LATIN 106A,,,
,MATH 55A,,,
,STAT 210,,,
Student 1340,ENGLISH 10,,,
,FRSEMR 64U,,,
,GENED 1102,,,
,GENED 1146,,,
Student 1341,ENGLISH 10,,,
,FRENCH 10,,,
,FRSEMR 65E,,,
,GENED 1038,,,
Student 1342,ECON 1010A,,,
,FRSEMR 42H,,,
,GENED 1094,,,
,MATH 1B,,,
Student 1343,EXPOS 20,,,
,FRSEMR 21V,,,
,GENED 1018,,,
,MATH 1B,,,
Student 1344,GENED 1093,,,
,LPS A,,,
,MATH 1A,,,
,SPANSH 30,,,
Student 1345,AFRIKAAN AA,,,
,ENG-SCI 139,,,
,EXPOS 10,,,
,HIST 1223,,,
Student 1346,EXPOS 20,,,
,GENED 1018,,,
,MATH MA,,,
,WSTAFRCN AA,,,
Student 1347,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1038,,,
,PHIL 34,,,
Student 1348,COMPSCI 50,,,
,EXPOS 10,,,
,MATH MA,,,
,ZULU AA,,,
Student 1349,AFVS 35R,,,
,COMPSCI 50,,,
,ECON 10A,,,
,MATH 22A,,,
Student 135,ECON 10A,,,
,EXPOS 10,,,
,MATH MA,,,
,WSTAFRCN AA,,,
Student 1350,EXPOS 20,,,
,GENED 1038,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1351,ECON 10A,,,
,ENG-SCI 139,,,
,MATH 18A,,,
,SPANSH 20,,,
Student 1352,GENED 1175,,,
,LIFESCI 1A,,,
,MATH 19A,,,
,PSY 18,,,
Student 1353,EXPOS 20,,,
,GENED 1144,,,
,LIFESCI 50A,,,
Student 1354,FRSEMR 64T,,,
,HISTSCI 100,,,
,HUMAN 10A,,,
,LIFESCI 1A,,,
Student 1355,ECON 10A,,,
,GENED 1120,,,
,GENED 1181,,,
,MATH 1A,,,
Student 1356,COMPLIT 107,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 35E,,,
Student 1357,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 60R,,,
,WSTAFRCN AA,,,
Student 1358,FRSEMR 43F,,,
,LATIN 1,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1359,ECON 10A,,,
,EXPOS 10,,,
,FRSEMR 65E,,,
,GENED 1102,,,
Student 136,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 72W,,,
,GOV 1290,,,
Student 1360,GENED 1042,,,
,MATH 21A,,,
,PHYSICS 15A,,,
,TDM 120,,,
Student 1361,ECON 10A,,,
,EXPOS 20,,,
,GENED 1120,,,
,GENED 1181,,,
Student 1362,FRSEMR 65C,,,
,GENED 1079,,,
,GENED 1144,,,
,PSY 1,,,
Student 1363,ENG-SCI 139,,,
,GENED 1071,,,
,GOV 30,,,
,KOREAN BA,,,
Student 1364,FRSEMR 72P,,,
,GENED 1019,,,
,GENED 1104,,,
,HUMAN 20,,,
Student 1365,EXPOS 20,,,
,MATH 21A,,,
,PHYSICS 19,,,
,SPANSH 72,,,
Student 1366,EXPOS 20,,,
,FRSEMR 72M,,,
,GENED 1181,,,
,HISTSCI 100,,,
Student 1367,HIST-LIT 90FS,,,
,HUMAN 10A,,,
,MUSIC 15,,,
,PSY 1,,,
,SPANSH 61N,,,
Student 1368,ECON 10A,,,
,GENED 1074,,,
,MATH 1A,,,
,MUSIC 107,,,
,MUSIC 189R,,,
Student 1369,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1038,,,
,MATH 22A,,,
Student 137,APMTH 22A,,,
,COMPSCI 73,,,
,COMPSCI 79,,,
,FRSEMR 33R,,,
Student 1370,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 43J,,,
,MATH 25A,,,
,MUSIC 189R,,,
Student 1371,COMPSCI 50,,,
,GENED 1033,,,
,MATH 22A,,,
,STAT 110,,,
Student 1372,COMPSCI 61,,,
,GENED 1018,,,
,GENED 1103,,,
,MATH 21B,,,
Student 1373,EXPOS 20,,,
,HISTSCI 100,,,
,LPS A,,,
,MATH MA,,,
Student 1374,ECON 10A,,,
,GENED 1019,,,
,GENED 1079,,,
,MATH 1B,,,
Student 1375,ANTHRO 1250,,,
,LIFESCI 50A,,,
,PHYSICS 19,,,
Student 1376,ARABIC AA,,,
,ECON 1010A,,,
,EXPOS 20,,,
,FRSEMR 71G,,,
Student 1377,COMPSCI 50,,,
,FRSEMR 26F,,,
,GENED 1104,,,
,MATH 55A,,,
Student 1378,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 23I,,,
,GERMAN 10A,,,
Student 1379,COMPSCI 50,,,
,EXPOS 20,,,
,MATH 21B,,,
,SPANSH 11,,,
Student 138,FRSEMR 62L,,,
,GENED 1102,,,
,MATH 22A,,,
,PHYSICS 15A,,,
Student 1380,ECON 10B,,,
,EXPOS 10,,,
,GENED 1019,,,
,MATH 18A,,,
Student 1381,ECON 10A,,,
,EXPOS 20,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1382,COMPSCI 50,,,
,GENED 1089,,,
,LIFESCI 1A,,,
,PSY 1,,,
Student 1383,COMPSCI 50,,,
,HIST-LIT 90EJ,,,
,HUMAN 10A,,,
,MATH 22A,,,
Student 1384,COMPSCI 50,,,
,EXPOS 10,,,
,GENED 1038,,,
,MATH MA,,,
Student 1385,FRSEMR 43F,,,
,GENED 1093,,,
,LPS A,,,
,MATH 1A,,,
Student 1386,ANTHRO 1255,,,
,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 50P,,,
Student 1387,APCOMP 209A,,,
,EXPOS 20,,,
,MATH 22A,,,
,STAT 110,,,
Student 1388,ECON 10A,,,
,FRSEMR 60C,,,
,HIST 1270,,,
,ITAL 10,,,
Student 1389,COMPSCI 50,,,
,GENED 1018,,,
,GENED 1131,,,
,MATH 1A,,,
Student 139,FRSEMR 30M,,,
,HUMAN 10A,,,
,SOCIOL 1197,,,
,SPANSH 11,,,
Student 1390,CHNSE BA,,,
,COMPSCI 50,,,
,FRSEMR 70P,,,
,MATH 21A,,,
Student 1391,COMPSCI 50,,,
,GENED 1130,,,
,MATH ESPA,,,
,MATH MA,,,
,WSTAFRCN AA,,,
Student 1392,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1104,,,
,MATH 21B,,,
Student 1393,ENGLISH CAJR,,,
,EXPOS 20,,,
,FRSEMR 72R,,,
,GOV 1540,,,
Student 1394,FRSEMR 64I,,,
,GENED 1103,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1395,ECON 10A,,,
,EXPOS 20,,,
,GENED 1074,,,
,MATH MA,,,
Student 1396,EXPOS 20,,,
,GENED 1091,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1397,COMPSCI 50,,,
,EXPOS 10,,,
,FRSEMR 72T,,,
,GOV 20,,,
Student 1398,FRSEMR 24Q,,,
,LPS A,,,
,MATH 19A,,,
,PHYSCI 2,,,
Student 1399,EXPOS 20,,,
,FRSEMR 49N,,,
,MATH QA,,,
,SOCIOL 1000,,,
Student 14,ECON 10A,,,
,FRSEMR 42H,,,
,GENED 1181,,,
,SPANSH 11,,,
Student 140,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 64O,,,
,MATH 18A,,,
Student 1400,ECON 10A,,,
,FRSEMR 71R,,,
,GENED 1114,,,
,MATH 1B,,,
Student 1401,ENGLISH 10,,,
,MATH 22A,,,
,PHIL 34,,,
,PHYSICS 19,,,
Student 1402,COMPSCI 50,,,
,EXPOS 20,,,
,MATH 22A,,,
,SPANSH 10,,,
Student 1403,EGYPTARB AA,,,
,GENED 1091,,,
,GOV 1790,,,
,HUMAN 10A,,,
Student 1404,ECON 10A,,,
,FRSEMR 72U,,,
,GENED 1074,,,
,GOV 20,,,
Student 1405,EXPOS 10,,,
,GENED 1038,,,
,GOV 20,,,
,HIST 1223,,,
Student 1406,ECON 10A,,,
,GENED 1120,,,
,MATH 1B,,,
,SPANSH 11,,,
Student 1407,ECON 10A,,,
,ECON 1133,,,
,GENED 1181,,,
,MATH 1B,,,
Student 1408,FRSEMR 65C,,,
,GENED 1181,,,
,SOCIOL 1197,,,
,SPANSH 40,,,
Student 1409,ECON 10A,,,
,EXPOS 20,,,
,GENED 1079,,,
,MATH MA,,,
Student 141,ECON 10A,,,
,EXPOS 20,,,
,GENED 1080,,,
,LIFESCI 1A,,,
Student 1410,FRENCH 30,,,
,GENED 1094,,,
,HAA 61G,,,
,HUMAN 10A,,,
Student 1411,ECON 10A,,,
,FRSEMR 62L,,,
,GENED 1069,,,
,SPANSH 10,,,
Student 1412,EXPOS 10,,,
,GENED 1104,,,
,PSY 1,,,
,SPANSH 40,,,
Student 1413,ECON 10A,,,
,EXPOS 10,,,
,GOV 1008,,,
,MATH 1A,,,
Student 1414,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 33O,,,
,MATH 22A,,,
Student 1415,FRSEMR 50V,,,
,HIST-LIT 90FJ,,,
,HUMAN 10A,,,
,ITAL 10,,,
Student 1416,COMPSCI 121,,,
,FRSEMR 33C,,,
,GENED 1102,,,
,MATH 25A,,,
Student 1417,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 71G,,,
Student 1418,EXPOS 20,,,
,GENED 1038,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1419,COMPSCI 50,,,
,EXPOS 10,,,
,FRSEMR 72W,,,
,MATH 1A,,,
Student 142,ENGLISH 10,,,
,ENGLISH CNFR,,,
,GENED 1104,,,
,MATH 22A,,,
Student 1420,EXPOS 20,,,
,FRSEMR 27I,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1421,COMPSCI 50,,,
,EXPOS 20,,,
,JAPAN BA,,,
,MATH 21A,,,
Student 1422,EXPOS 20,,,
,FRSEMR 65C,,,
,LIFESCI 50A,,,
Student 1423,CHNSE BX,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1181,,,
Student 1424,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 10,,,
,FRSEMR 33X,,,
Student 1425,COMPSCI 61,,,
,EXPOS 20,,,
,MATH 22A,,,
,STAT 110,,,
Student 1426,ECON 10A,,,
,HIST 1602,,,
,LATIN 1,,,
,MATH 1A,,,
Student 1427,ECON 10A,,,
,GENED 1102,,,
,GOV 1249,,,
,HUMAN 10A,,,
Student 1428,EXPOS 20,,,
,LIFESCI 50A,,,
,MATH 21A,,,
Student 1429,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1042,,,
,MATH 22A,,,
Student 143,EXPOS 20,,,
,GENED 1038,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1430,ECON 10A,,,
,EXPOS 10,,,
,GENED 1079,,,
,MATH QA,,,
Student 1431,ECON 10A,,,
,EXPOS 10,,,
,GENED 1038,,,
,PORTUG 10S,,,
Student 1432,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 26F,,,
,RUSS BA,,,
Student 1433,FRSEMR 30Q,,,
,JAPAN 120A,,,
,LIFESCI 1A,,,
,MATH 19A,,,
Student 1434,COMPSCI 50,,,
,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1435,EXPOS 20,,,
,GENED 1053,,,
,MATH 21A,,,
,NEURO 80,,,
Student 1436,EXPOS 20,,,
,FRSEMR 33C,,,
,MATH QA,,,
,SOCIOL 1000,,,
Student 1437,FRSEMR 61U,,,
,LPS A,,,
,MATH 1A,,,
,SPANSH 11,,,
Student 1438,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 43F,,,
,GENED 1019,,,
Student 1439,ECON 10A,,,
,EXPOS 10,,,
,FRSEMR 50Y,,,
,MATH 1B,,,
Student 144,AFRAMER 115Y,,,
,ECON 10A,,,
,EXPOS 10,,,
,GENED 1120,,,
Student 1440,EXPOS 20,,,
,FRSEMR 51S,,,
,GENED 1105,,,
,GOV 20,,,
Student 1441,ECON 10A,,,
,GENED 1093,,,
,LPS A,,,
,MATH 21A,,,
Student 1442,CHNSE BX,,,
,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1104,,,
Student 1443,EXPOS 20,,,
,FRSEMR 72V,,,
,GOV 30,,,
,SPANSH 10,,,
Student 1444,EXPOS 10,,,
,FRSEMR 24G,,,
,LIFESCI 1A,,,
,MATH MA,,,
,MUSIC 14,,,
Student 1445,FRSEMR 63R,,,
,LATIN 3,,,
,MATH 1B,,,
,STAT 100,,,
Student 1446,CHNSE BA,,,
,ECON 10A,,,
,EXPOS 20,,,
,MATH MA,,,
Student 1447,COMPSCI 50,,,
,GENED 1079,,,
,MATH 1B,,,
,PHIL 34,,,
Student 1448,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 71Y,,,
,GENED 1094,,,
Student 1449,FRSEMR 30M,,,
,HUMAN 10A,,,
,LPS A,,,
,MUSIC 51A,,,
Student 145,ECON 10A,,,
,GENED 1019,,,
,GENED 1038,,,
,ZULU AA,,,
Student 1450,COMPSCI 50,,,
,EXPOS 20,,,
,MATH 55A,,,
,STAT 110,,,
Student 1451,ECON 10A,,,
,EXPOS 20,,,
,FRENCH 20,,,
,GENED 1038,,,
Student 1452,EXPOS 20,,,
,FRSEMR 23P,,,
,MATH 22A,,,
,PHYSICS 19,,,
Student 1453,ECON 10A,,,
,EXPOS 20,,,
,PHIL 34,,,
,YORUBA AA,,,
Student 1454,ECON 10A,,,
,ENGLISH 10,,,
,HUMAN 10A,,,
,MATH 1B,,,
Student 1455,ECON 10A,,,
,FRSEMR 30Q,,,
,HUMAN 10A,,,
,MATH 21A,,,
Student 1456,COMPSCI 50,,,
,EXPOS 10,,,
,MATH ESPA,,,
,MATH MA,,,
,SPANSH 20,,,
Student 1457,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 64O,,,
,GOV 20,,,
Student 1458,EXPOS 20,,,
,LPS A,,,
,MATH 1A,,,
,SPANSH 20,,,
Student 1459,EXPOS 20,,,
,FRSEMR 41K,,,
,GENED 1076,,,
,SOCIOL 1000,,,
Student 146,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 43J,,,
,JAPAN BA,,,
Student 1460,COMPSCI 50,,,
,FRSEMR 31J,,,
,HUMAN 10A,,,
,MATH 22A,,,
Student 1461,ECON 10A,,,
,EXPOS 20,,,
,GENED 1091,,,
,GENED 1093,,,
Student 1462,COMPSCI 61,,,
,FRENCH 64,,,
,MATH 22A,,,
,STAT 110,,,
Student 1463,EXPOS 20,,,
,FRSEMR 65E,,,
,GERMAN 10A,,,
,MATH QA,,,
Student 1464,CHNSE BX,,,
,ECON 10A,,,
,LPS A,,,
,MATH 1A,,,
Student 1465,COMPSCI 61,,,
,ECON 10A,,,
,MATH 25A,,,
,STAT 110,,,
Student 1466,EXPOS 10,,,
,GENED 1093,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1467,FRSEMR 33C,,,
,GENED 1019,,,
,HUMAN 10A,,,
,SPANSH 40,,,
Student 1468,COMPSCI 50,,,
,EXPOS 20,,,
,KOREAN BA,,,
,LPS A,,,
Student 1469,EXPOS 20,,,
,FRSEMR 52C,,,
,MATH MA,,,
,SPANSH 11,,,
Student 147,ECON 10A,,,
,FRSEMR 50V,,,
,MATH 21A,,,
,PHYSICS 15A,,,
Student 1470,FRSEMR 71R,,,
,GENED 1044,,,
,GENED 1094,,,
,MATH 22A,,,
Student 1471,ECON 10A,,,
,EXPOS 10,,,
,MATH MA,,,
Student 1472,ECON 10A,,,
