0,FAS-218511-2218-1-1-001,FAS-119064-2218-1-1-001,FAS-122575-2218-1-1-001,FAS-205489-2218-1-1-001
1,FAS-108971-2218-1-1-001,FAS-127561-2218-1-1-001,FAS-109600-2218-1-1-001,FAS-125407-2218-1-1-001
2,FAS-121189-2218-1-1-001,FAS-117853-2218-1-1-001,FAS-116353-2218-1-1-238,FAS-116353-2218-1-1-239
3,FAS-217446-2218-1-1-001,FAS-212935-2218-1-1-001,FAS-213478-2218-1-1-001,FAS-160624-2218-1-1-001
4,FAS-109073-2218-1-1-001,FAS-126633-2218-1-1-001,FAS-119196-2218-1-1-001,FAS-132127-2218-1-1-001
5,FAS-119985-2218-1-1-001,FAS-218047-2218-1-1-001,FAS-109073-2218-1-1-001,FAS-119951-2218-1-1-001
6,FAS-216239-2218-1-1-001,FAS-108405-2218-1-1-001,FAS-119502-2218-1-1-001,FAS-121758-2218-1-1-001
7,FAS-126638-2218-1-1-001,FAS-127668-2218-1-1-001,FAS-127507-2218-1-1-001,FAS-132844-2218-1-1-001
8,FAS-213252-2218-1-1-001,FAS-212765-2218-1-1-001,FAS-218600-2218-1-1-001,FAS-218266-2218-1-1-001
9,FAS-212896-2218-1-1-001,FAS-160654-2218-1-1-001,FAS-202992-2218-1-1-001,FAS-125573-2218-1-1-001
10,FAS-120198-2218-1-1-001,FAS-111010-2218-1-1-001,FAS-125195-2218-1-1-001,FAS-111130-2218-1-1-001
11,FAS-123941-2218-1-1-001,FAS-122930-2218-1-1-001,FAS-113749-2218-1-1-001,FAS-113637-2218-1-1-001
12,FAS-115137-2218-1-1-001,FAS-205339-2218-1-1-001,FAS-207485-2218-1-1-001,FAS-119064-2218-1-1-001
13,FAS-115947-2218-1-1-001,FAS-131392-2218-1-1-001,FAS-207485-2218-1-1-001,FAS-152514-2218-1-1-001
14,FAS-150189-2218-1-1-001,FAS-108405-2218-1-1-001,FAS-159550-2218-1-1-001,FAS-118775-2218-1-1-001
15,FAS-142451-2218-1-1-001,FAS-121189-2218-1-1-001,FAS-126539-2218-1-1-001,FAS-111010-2218-1-1-001
16,FAS-123674-2218-1-1-001,FAS-108405-2218-1-1-001,FAS-108982-2218-1-1-001,FAS-127561-2218-1-1-001
17,FAS-109733-2218-1-1-001,FAS-109457-2218-1-1-001,FAS-156115-2218-1-1-001,FAS-123680-2218-1-1-001
18,FAS-111162-2218-1-1-001,FAS-125932-2218-1-1-001,FAS-144157-2218-1-1-001,FAS-113326-2218-1-1-001
19,FAS-112430-2218-1-1-001,FAS-107973-2218-1-1-01,FAS-118942-2218-1-1-001,FAS-212896-2218-1-1-001
20,FAS-124127-2218-1-1-001,FAS-108465-2218-1-1-001,FAS-110684-2218-1-1-001,FAS-108482-2218-1-1-001
21,FAS-148434-2218-1-1-001,FAS-218600-2218-1-1-001,FAS-122930-2218-1-1-001,FAS-212896-2218-1-1-001
22,FAS-116353-2218-1-1-231,FAS-113501-2218-1-1-001,FAS-218266-2218-1-1-001,FAS-123941-2218-1-1-001
23,FAS-159550-2218-1-1-001,FAS-126735-2218-1-1-001,FAS-132127-2218-1-1-001,FAS-211332-2218-1-1-001
24,FAS-215897-2218-1-1-001,FAS-125058-2218-1-1-003,FAS-125216-2218-1-1-001,FAS-125227-2218-1-1-006
25,FAS-160566-2218-1-1-001,FAS-215121-2218-1-1-001,FAS-109899-2218-1-1-001,FAS-110115-2218-1-1-001
26,FAS-120717-2218-1-1-001,FAS-127507-2218-1-1-001,FAS-203555-2218-1-1-001,FAS-125216-2218-1-1-001
27,FAS-123680-2218-1-1-001,FAS-218502-2218-1-1-001,FAS-123941-2218-1-1-001,FAS-218266-2218-1-1-001
28,FAS-114292-2218-1-1-001,FAS-205295-2218-1-1-001,FAS-123858-2218-1-1-001,FAS-212896-2218-1-1-001
29,FAS-110440-2218-1-1-001,FAS-125185-2218-1-1-01,FAS-108213-2218-1-1-001,FAS-113326-2218-1-1-001
30,FAS-126638-2218-1-1-001,FAS-112378-2218-1-1-001,FAS-115137-2218-1-1-001,FAS-119951-2218-1-1-001
31,FAS-118942-2218-1-1-001,FAS-205088-2218-1-1-001,FAS-110112-2218-1-1-001,FAS-109680-2218-1-1-001
32,FAS-113873-2218-1-1-001,FAS-207005-2218-1-1-001,FAS-215875-2218-1-1-001,FAS-113326-2218-1-1-001
33,FAS-114808-2218-1-1-001,FAS-112430-2218-1-1-001,FAS-208114-2218-1-2-0001,FAS-125097-2218-1-1-001
34,FAS-109073-2218-1-1-001,FAS-121759-2218-1-1-001,FAS-108901-2218-1-1-001,FAS-110424-2218-1-1-001
35,FAS-109898-2218-1-1-001,FAS-119196-2218-1-1-001,FAS-218266-2218-1-1-001,FAS-113873-2218-1-1-001
36,FAS-124777-2218-1-1-001,FAS-207485-2218-1-1-001,FAS-117853-2218-1-1-001,FAS-207780-2218-1-1-001
37,FAS-156021-2218-1-1-001,FAS-144157-2218-1-1-001,FAS-110766-2218-1-1-001,FAS-124044-2218-1-1-SEM
38,FAS-121778-2218-1-1-001,FAS-120305-2218-1-1-002,FAS-213475-2218-1-1-1,FAS-113326-2218-1-1-001
39,FAS-108482-2218-1-1-001,FAS-119196-2218-1-1-001,FAS-126633-2218-1-1-001,FAS-212896-2218-1-1-001
40,FAS-114754-2218-1-1-001,FAS-123674-2218-1-1-001,FAS-122575-2218-1-1-001,FAS-148158-2218-1-1-01
41,FAS-218882-2218-1-1-001,FAS-212896-2218-1-1-001,FAS-121778-2218-1-1-001,FAS-109457-2218-1-1-001
42,FAS-115470-2218-1-1-001,FAS-122596-2218-1-1-001,FAS-124154-2218-1-1-001,FAS-110766-2218-1-1-001
43,FAS-109342-2218-1-1-001,FAS-110751-2218-1-1-001,FAS-113501-2218-1-1-001,FAS-110578-2218-1-1-001
44,FAS-110596-2218-1-1-001,FAS-145857-2218-1-1-001,FAS-159629-2218-1-1-002,FAS-110751-2218-1-1-001
45,FAS-141657-2218-1-1-001,FAS-111458-2218-1-1-001,FAS-203101-2218-1-1-001,FAS-130236-2218-1-1-001
